"X","MatchURL","League","Match_Date","Matchweek","Home_Team","Home_Formation","Home_Score","Home_xG","Home_Goals","Home_Yellow_Cards","Home_Red_Cards","Away_Team","Away_Formation","Away_Score","Away_xG","Away_Goals","Away_Yellow_Cards","Away_Red_Cards","Game_URL","Team","Home_Away","Player","Player_Href","Player_Num","Nation","First_pos_fbref","Other_pos_fbref","Age","Min","Gls","Ast","PK","PKatt","Sh","SoT","CrdY","CrdR","Touches","Tkl","Int","Blocks","xG_Expected","npxG_Expected","xAG_Expected","SCA_SCA","GCA_SCA","Cmp_Passes","Att_Passes","Cmp_percent_Passes","PrgP_Passes","Carries_Carries","PrgC_Carries","Att_Take_Ons","Succ_Take_Ons","Competition_Name","Gender","Country","Tier","Season_End_Year","Cmp_Total","Att_Total","Cmp_percent_Total","TotDist_Total","PrgDist_Total","Cmp_Short","Att_Short","Cmp_percent_Short","Cmp_Medium","Att_Medium","Cmp_percent_Medium","Cmp_Long","Att_Long","Cmp_percent_Long","xAG","xA","KP","Final_Third","PPA","CrsPA","PrgP","Att","Live_Pass_Types","Dead_Pass_Types","FK_Pass_Types","TB_Pass_Types","Sw_Pass_Types","Crs_Pass_Types","TI_Pass_Types","CK_Pass_Types","In_Corner_Kicks","Out_Corner_Kicks","Str_Corner_Kicks","Cmp_Outcomes","Off_Outcomes","Blocks_Outcomes","Tkl_Tackles","TklW_Tackles","Def.3rd_Tackles","Mid.3rd_Tackles","Att.3rd_Tackles","Tkl_Challenges","Att_Challenges","Tkl_percent_Challenges","Lost_Challenges","Blocks_Blocks","Sh_Blocks","Pass_Blocks","Tkl.Int","Clr","Err","Touches_Touches","Def.Pen_Touches","Def.3rd_Touches","Mid.3rd_Touches","Att.3rd_Touches","Att.Pen_Touches","Live_Touches","Succ_percent_Take_Ons","Tkld_Take_Ons","Tkld_percent_Take_Ons","TotDist_Carries","PrgDist_Carries","Final_Third_Carries","CPA_Carries","Mis_Carries","Dis_Carries","Rec_Receiving","PrgR_Receiving","X2CrdY","Fls","Fld","Off","Crs","TklW","PKwon","PKcon","OG","Recov","Won_Aerial_Duels","Lost_Aerial_Duels","Won_percent_Aerial_Duels","fotmob_position_short","fotmob_position","fotmob_rating","sofa_position","sofa_rating","ws_position","ws_rating"
1,"https://fbref.com/en/matches/1edcbf7a/Osasuna-Sevilla-August-12-2022-La-Liga","La Liga","12/08/2022","La Liga (Matchweek 1)","osasuna","04/04/2002",2,1.5,"Ezequiel Ávila · 9&rsquor; Aimar Oroz (P) · 74&rsquor;",5,0,"sevilla","4-2-3-1",1,0.9,"Rafa Mir · 11&rsquor;",3,0,"https://fbref.com/en/matches/1edcbf7a/Osasuna-Sevilla-August-12-2022-La-Liga","Osasuna","Home","aimar oroz","/en/players/7c363088/Aimar-Oroz",29,"ESP","FW",NA,"20-258",80,1,0,1,1,0,0,0,0,27,1,1,1,0.8,0,0,6,2,22,22,100,2,19,0,0,0,"La Liga","M","ESP","1st",2023,22,22,100,356,90,12,12,100,9,9,100,1,1,100,0,0,1,1,1,0,2,22,20,2,0,0,0,0,0,0,0,0,0,22,0,0,1,0,0,0,1,0,1,0,1,1,0,1,2,0,0,27,0,3,14,10,2,26,0,0,0,76,14,0,0,0,2,19,3,0,1,1,0,0,0,0,0,0,2,0,2,0,"CF","Attacker",7.72,"M",7.1,"FW",7.05
2,"https://fbref.com/en/matches/1edcbf7a/Osasuna-Sevilla-August-12-2022-La-Liga","La Liga","12/08/2022","La Liga (Matchweek 1)","osasuna","04/04/2002",2,1.5,"Ezequiel Ávila · 9&rsquor; Aimar Oroz (P) · 74&rsquor;",5,0,"sevilla","4-2-3-1",1,0.9,"Rafa Mir · 11&rsquor;",3,0,"https://fbref.com/en/matches/1edcbf7a/Osasuna-Sevilla-August-12-2022-La-Liga","Osasuna","Home","pablo ibanez","/en/players/3701906c/Pablo-Ibanez",19,"ESP","CM",NA,"23-326",10,0,0,0,0,0,0,0,0,6,0,0,1,0,0,0,1,0,2,4,50,1,4,0,0,0,"La Liga","M","ESP","1st",2023,2,4,50,28,19,1,1,100,1,2,50,0,1,0,0,0,1,1,0,0,1,4,4,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,6,0,2,3,1,0,6,0,0,0,12,10,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,"","Substitute",NA,NA,NA,"Sub",6.07
3,"https://fbref.com/en/matches/1edcbf7a/Osasuna-Sevilla-August-12-2022-La-Liga","La Liga","12/08/2022","La Liga (Matchweek 1)","osasuna","04/04/2002",2,1.5,"Ezequiel Ávila · 9&rsquor; Aimar Oroz (P) · 74&rsquor;",5,0,"sevilla","4-2-3-1",1,0.9,"Rafa Mir · 11&rsquor;",3,0,"https://fbref.com/en/matches/1edcbf7a/Osasuna-Sevilla-August-12-2022-La-Liga","Osasuna","Home","ezequiel avila","/en/players/253a06b9/Ezequiel-Avila",9,"ARG","FW",NA,"28-187",80,1,0,0,0,6,1,1,0,21,0,0,0,0.5,0.5,0,2,0,5,9,55.6,2,18,0,3,2,"La Liga","M","ESP","1st",2023,5,9,55.6,90,21,2,2,100,2,4,50,1,2,50,0,0,0,0,0,0,2,9,9,0,0,0,0,3,0,0,0,0,0,5,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,21,0,2,5,14,3,21,66.7,1,33.3,67,20,0,0,3,0,17,2,0,0,4,4,3,0,0,0,0,1,0,1,0,"CF","Attacker",7.91,NA,NA,"FW",7.2
4,"https://fbref.com/en/matches/1edcbf7a/Osasuna-Sevilla-August-12-2022-La-Liga","La Liga","12/08/2022","La Liga (Matchweek 1)","osasuna","04/04/2002",2,1.5,"Ezequiel Ávila · 9&rsquor; Aimar Oroz (P) · 74&rsquor;",5,0,"sevilla","4-2-3-1",1,0.9,"Rafa Mir · 11&rsquor;",3,0,"https://fbref.com/en/matches/1edcbf7a/Osasuna-Sevilla-August-12-2022-La-Liga","Osasuna","Home","kike","/en/players/e897d8ba/Kike",18,"ESP","FW",NA,"32-260",10,0,0,0,0,1,1,0,0,8,0,0,0,0,0,0,0,0,1,3,33.3,0,4,1,1,1,"La Liga","M","ESP","1st",2023,1,3,33.3,9,0,1,1,100,0,0,0,0,1,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,8,2,2,3,3,0,8,100,0,0,22,12,0,0,2,0,5,1,0,0,0,0,0,0,0,0,0,1,2,1,66.7,"","Substitute",NA,NA,NA,"Sub",6.46
5,"https://fbref.com/en/matches/1edcbf7a/Osasuna-Sevilla-August-12-2022-La-Liga","La Liga","12/08/2022","La Liga (Matchweek 1)","osasuna","04/04/2002",2,1.5,"Ezequiel Ávila · 9&rsquor; Aimar Oroz (P) · 74&rsquor;",5,0,"sevilla","4-2-3-1",1,0.9,"Rafa Mir · 11&rsquor;",3,0,"https://fbref.com/en/matches/1edcbf7a/Osasuna-Sevilla-August-12-2022-La-Liga","Osasuna","Home","moi gomez","/en/players/5a626448/Moi-Gomez",16,"ESP","LM","RM","28-050",90,0,0,0,0,2,1,1,0,45,0,2,0,0.1,0.1,0.1,4,0,22,38,57.9,3,28,2,1,0,"La Liga","M","ESP","1st",2023,22,38,57.9,530,127,7,8,87.5,10,15,66.7,5,11,45.5,0.1,0.1,4,3,2,1,3,38,26,8,3,0,2,10,0,5,2,3,0,22,4,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,45,0,5,22,21,0,45,0,1,100,213,63,3,0,1,1,23,6,0,1,0,0,10,0,0,0,0,6,0,2,0,"LM","Midfielder",7.83,"M",7.2,"ML",6.99
6,"https://fbref.com/en/matches/1edcbf7a/Osasuna-Sevilla-August-12-2022-La-Liga","La Liga","12/08/2022","La Liga (Matchweek 1)","osasuna","04/04/2002",2,1.5,"Ezequiel Ávila · 9&rsquor; Aimar Oroz (P) · 74&rsquor;",5,0,"sevilla","4-2-3-1",1,0.9,"Rafa Mir · 11&rsquor;",3,0,"https://fbref.com/en/matches/1edcbf7a/Osasuna-Sevilla-August-12-2022-La-Liga","Osasuna","Home","lucas torro","/en/players/0e4fef6e/Lucas-Torro",6,"ESP","CM","DM","28-024",90,0,0,0,0,1,1,0,0,24,2,0,0,0,0,0,2,0,16,20,80,2,11,0,1,0,"La Liga","M","ESP","1st",2023,16,20,80,259,83,7,10,70,7,7,100,1,2,50,0,0,0,1,0,0,2,20,20,0,0,0,0,0,0,0,0,0,0,16,0,0,2,2,0,1,1,1,1,100,0,0,0,0,2,1,0,24,2,4,13,7,0,24,0,0,0,68,19,1,0,1,0,12,0,0,2,2,0,0,2,0,0,0,3,0,2,0,"CM","Midfielder",7.01,"M",6.8,"MC",6.56
7,"https://fbref.com/en/matches/1edcbf7a/Osasuna-Sevilla-August-12-2022-La-Liga","La Liga","12/08/2022","La Liga (Matchweek 1)","osasuna","04/04/2002",2,1.5,"Ezequiel Ávila · 9&rsquor; Aimar Oroz (P) · 74&rsquor;",5,0,"sevilla","4-2-3-1",1,0.9,"Rafa Mir · 11&rsquor;",3,0,"https://fbref.com/en/matches/1edcbf7a/Osasuna-Sevilla-August-12-2022-La-Liga","Osasuna","Home","jon moncayola","/en/players/9939e168/Jon-Moncayola",7,"ESP","CM",NA,"24-091",90,0,0,0,0,1,0,0,0,39,2,0,0,0,0,0,1,1,28,34,82.4,6,18,0,0,0,"La Liga","M","ESP","1st",2023,28,34,82.4,660,171,11,13,84.6,9,11,81.8,8,9,88.9,0,0,0,7,0,0,6,34,32,1,1,0,2,2,0,0,0,0,0,28,1,0,2,2,1,0,1,1,3,33.3,2,0,0,0,2,1,0,39,1,10,22,7,0,39,0,0,0,53,14,0,0,1,0,28,0,0,1,1,0,2,2,1,0,0,3,0,0,0,"CM","Midfielder",7.44,"M",7,"MC",6.74
8,"https://fbref.com/en/matches/1edcbf7a/Osasuna-Sevilla-August-12-2022-La-Liga","La Liga","12/08/2022","La Liga (Matchweek 1)","osasuna","04/04/2002",2,1.5,"Ezequiel Ávila · 9&rsquor; Aimar Oroz (P) · 74&rsquor;",5,0,"sevilla","4-2-3-1",1,0.9,"Rafa Mir · 11&rsquor;",3,0,"https://fbref.com/en/matches/1edcbf7a/Osasuna-Sevilla-August-12-2022-La-Liga","Osasuna","Home","kike barja","/en/players/aad53e64/Kike-Barja",11,"ESP","RM",NA,"25-133",55,0,0,0,0,0,0,0,0,19,1,0,0,0,0,0.3,2,0,7,12,58.3,1,11,1,3,0,"La Liga","M","ESP","1st",2023,7,12,58.3,105,18,3,3,100,3,7,42.9,0,1,0,0.3,0,1,0,1,0,1,12,12,0,0,0,0,2,0,0,0,0,0,7,0,0,1,0,0,1,0,0,1,0,1,0,0,0,1,0,0,19,0,0,12,7,1,19,0,3,100,61,22,0,0,2,2,16,5,0,2,0,1,2,0,0,0,0,0,0,0,0,"RM","Midfielder",5.8,"F",5.8,"MR",5.88
9,"https://fbref.com/en/matches/1edcbf7a/Osasuna-Sevilla-August-12-2022-La-Liga","La Liga","12/08/2022","La Liga (Matchweek 1)","osasuna","04/04/2002",2,1.5,"Ezequiel Ávila · 9&rsquor; Aimar Oroz (P) · 74&rsquor;",5,0,"sevilla","4-2-3-1",1,0.9,"Rafa Mir · 11&rsquor;",3,0,"https://fbref.com/en/matches/1edcbf7a/Osasuna-Sevilla-August-12-2022-La-Liga","Osasuna","Home","nacho vidal","/en/players/3a9c4b7b/Nacho-Vidal",2,"ESP","RB",NA,"27-200",35,0,0,0,0,0,0,0,0,17,1,0,0,0,0,0,0,0,9,16,56.3,0,3,1,0,0,"La Liga","M","ESP","1st",2023,9,16,56.3,153,80,4,4,100,4,6,66.7,1,5,20,0,0,0,0,0,0,0,16,10,6,0,0,0,1,6,0,0,0,0,9,0,1,1,1,1,0,0,0,1,0,1,0,0,0,1,0,0,17,0,2,10,5,1,17,0,0,0,20,8,0,1,0,0,6,0,0,1,0,0,1,1,0,0,0,0,0,0,0,"","Substitute",6.08,"D",6.4,"Sub",6.14
10,"https://fbref.com/en/matches/1edcbf7a/Osasuna-Sevilla-August-12-2022-La-Liga","La Liga","12/08/2022","La Liga (Matchweek 1)","osasuna","04/04/2002",2,1.5,"Ezequiel Ávila · 9&rsquor; Aimar Oroz (P) · 74&rsquor;",5,0,"sevilla","4-2-3-1",1,0.9,"Rafa Mir · 11&rsquor;",3,0,"https://fbref.com/en/matches/1edcbf7a/Osasuna-Sevilla-August-12-2022-La-Liga","Osasuna","Home","juan cruz armada","/en/players/a56da3ba/Juan-Cruz-Armada",3,"ESP","LB","CB","30-015",90,0,0,0,0,0,0,0,0,36,1,0,1,0,0,0,0,0,20,26,76.9,2,11,0,0,0,"La Liga","M","ESP","1st",2023,20,26,76.9,328,137,10,11,90.9,9,11,81.8,1,3,33.3,0,0,0,2,0,0,2,26,17,9,1,0,0,1,8,0,0,0,0,20,0,1,1,0,0,1,0,0,0,0,0,1,1,0,1,3,0,36,5,11,20,6,0,36,0,0,0,35,15,1,0,1,0,14,2,0,2,0,0,1,0,0,0,0,3,0,1,0,"LB","Defender",6.45,NA,NA,"DL",NA
11,"https://fbref.com/en/matches/1edcbf7a/Osasuna-Sevilla-August-12-2022-La-Liga","La Liga","12/08/2022","La Liga (Matchweek 1)","osasuna","04/04/2002",2,1.5,"Ezequiel Ávila · 9&rsquor; Aimar Oroz (P) · 74&rsquor;",5,0,"sevilla","4-2-3-1",1,0.9,"Rafa Mir · 11&rsquor;",3,0,"https://fbref.com/en/matches/1edcbf7a/Osasuna-Sevilla-August-12-2022-La-Liga","Osasuna","Home","david garcia","/en/players/3e42f707/David-Garcia",5,"ESP","CB",NA,"28-179",90,0,0,0,0,0,0,1,0,44,2,2,1,0,0,0,1,0,24,32,75,2,22,0,0,0,"La Liga","M","ESP","1st",2023,24,32,75,533,262,8,10,80,11,12,91.7,5,10,50,0,0,0,4,0,0,2,32,31,1,1,0,1,0,0,0,0,0,0,24,0,0,2,1,1,1,0,2,2,100,0,1,1,0,4,2,0,44,5,26,17,1,0,44,0,0,0,91,38,1,0,3,0,23,0,0,3,0,0,0,1,0,0,0,4,2,3,40,"CB","Defender",6.87,"D",6.7,"DC",6.44
12,"https://fbref.com/en/matches/1edcbf7a/Osasuna-Sevilla-August-12-2022-La-Liga","La Liga","12/08/2022","La Liga (Matchweek 1)","osasuna","04/04/2002",2,1.5,"Ezequiel Ávila · 9&rsquor; Aimar Oroz (P) · 74&rsquor;",5,0,"sevilla","4-2-3-1",1,0.9,"Rafa Mir · 11&rsquor;",3,0,"https://fbref.com/en/matches/1edcbf7a/Osasuna-Sevilla-August-12-2022-La-Liga","Osasuna","Home","unai garcia","/en/players/4a633cfe/Unai-Garcia",4,"ESP","CB",NA,"30-190",78,0,0,0,0,0,0,1,0,36,0,0,1,0,0,0,0,0,29,31,93.5,3,14,0,0,0,"La Liga","M","ESP","1st",2023,29,31,93.5,675,235,7,8,87.5,14,14,100,7,8,87.5,0,0,0,4,0,0,3,31,31,0,0,0,1,0,0,0,0,0,0,29,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,4,0,36,5,12,24,0,0,36,0,0,0,104,87,0,0,0,0,21,0,0,2,0,0,0,0,0,0,0,3,1,2,33.3,"CB","Defender",6.58,"D",6.7,"DC",6.27
13,"https://fbref.com/en/matches/1edcbf7a/Osasuna-Sevilla-August-12-2022-La-Liga","La Liga","12/08/2022","La Liga (Matchweek 1)","osasuna","04/04/2002",2,1.5,"Ezequiel Ávila · 9&rsquor; Aimar Oroz (P) · 74&rsquor;",5,0,"sevilla","4-2-3-1",1,0.9,"Rafa Mir · 11&rsquor;",3,0,"https://fbref.com/en/matches/1edcbf7a/Osasuna-Sevilla-August-12-2022-La-Liga","Osasuna","Home","manu sanchez","/en/players/ffacd3d5/Manu-Sanchez",20,"ESP","LB","CB","21-353",12,0,0,0,0,0,0,0,0,6,1,0,0,0,0,0,0,0,2,2,100,0,2,0,1,0,"La Liga","M","ESP","1st",2023,2,2,100,50,0,1,1,100,0,0,0,1,1,100,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,2,0,0,1,1,1,0,0,1,1,100,0,0,0,0,1,2,0,6,2,4,1,1,0,6,0,1,100,16,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,1,0,100,"","Substitute",6.49,NA,NA,"Sub",6.32
14,"https://fbref.com/en/matches/1edcbf7a/Osasuna-Sevilla-August-12-2022-La-Liga","La Liga","12/08/2022","La Liga (Matchweek 1)","osasuna","04/04/2002",2,1.5,"Ezequiel Ávila · 9&rsquor; Aimar Oroz (P) · 74&rsquor;",5,0,"sevilla","4-2-3-1",1,0.9,"Rafa Mir · 11&rsquor;",3,0,"https://fbref.com/en/matches/1edcbf7a/Osasuna-Sevilla-August-12-2022-La-Liga","Osasuna","Home","ruben pena","/en/players/1f079188/Ruben-Pena",15,"ESP","RB","RM","31-025",61,0,1,0,0,0,0,0,0,28,0,0,1,0,0,0.1,1,1,14,20,70,1,14,3,0,0,"La Liga","M","ESP","1st",2023,14,20,70,212,73,10,11,90.9,3,5,60,1,3,33.3,0.1,0.1,1,1,1,1,1,20,16,4,0,0,0,3,4,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,2,0,28,1,7,11,11,3,28,0,0,0,106,89,1,1,0,0,12,3,0,1,0,0,3,0,0,0,0,4,0,3,0,"RB","Defender",7.24,"D",6.8,"DR",6.65
15,"https://fbref.com/en/matches/1edcbf7a/Osasuna-Sevilla-August-12-2022-La-Liga","La Liga","12/08/2022","La Liga (Matchweek 1)","osasuna","04/04/2002",2,1.5,"Ezequiel Ávila · 9&rsquor; Aimar Oroz (P) · 74&rsquor;",5,0,"sevilla","4-2-3-1",1,0.9,"Rafa Mir · 11&rsquor;",3,0,"https://fbref.com/en/matches/1edcbf7a/Osasuna-Sevilla-August-12-2022-La-Liga","Osasuna","Home","darko brasanac","/en/players/4accb7e0/Darko-Brasanac",8,"SRB","LM",NA,"30-181",29,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,1,0,4,6,66.7,0,3,0,2,0,"La Liga","M","ESP","1st",2023,4,6,66.7,41,1,4,4,100,0,1,0,0,0,0,0,0,0,0,0,0,0,6,5,1,0,0,0,0,1,0,0,0,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,11,2,3,4,4,0,11,0,1,50,17,6,0,0,0,0,5,1,0,0,1,0,0,0,0,0,0,1,1,1,50,"","Substitute",6.34,"M",6.5,"Sub",6.26
